transaction_id,final_amount
170d4724-7d97-47ef-bbae-ae5014946ffb,76.5
b90d4221-30e7-418f-86d5-17a92a122f03,78.0
7883874b-7e5b-4983-a63b-6b4cbd3599dd,75.0
5d2f7e47-becd-4db1-9b36-18a4a255412b,76.5
53690385-f457-47bb-81bd-82a040aaf445,78.0
fbd24716-2c3b-435b-852e-9a14e2ce49f4,75.0
4ff2e218-f51f-455d-a807-7fbdb85ed2b0,82.5
38a73ad5-291c-4f9c-a157-fcfc7fcb1735,85.5
5606c243-e971-413f-af39-e407fd9fd07f,75.0
e1ebc75b-160d-4fc5-9d38-7ddbc8903885,87.0
c6d64237-bf41-4f61-8142-6764131e6812,84.0
0a3da16b-4180-45dd-9adb-90a84b861934,78.0
d3d80f58-7dc9-4986-b22e-a93e43b14f68,79.5
02f12ab1-812a-4c33-a5af-e755cc31670d,76.5
02740f67-cbdf-438c-823a-53ba3eafbcf2,77.5
f0f55bfb-496b-40c3-b3a9-58588028aa12,78.0
c3fab97c-ebea-47f8-baa9-9da300c86d26,81.0
ec188d1a-0de8-44d7-a4c5-e76c3c1709c4,75.0
c278aca8-ff77-4f8a-bb10-6b405f6d4e54,78.0
e81acfe2-6613-432f-8d67-7864782bfbd2,75.0
642e8232-d289-4e5f-8d25-2a73ed711491,75.0
82b2ccc5-4935-46e2-ac8e-ca8cd064e9d8,81.0
8cc9cc38-801d-41c1-add3-68a33463251e,75.0
f1b268ce-fc81-4fa3-9bb3-e3d09f333c3b,82.5
12f99c6d-4d76-488b-bcca-1d5040ffbf01,75.0
67ab992e-6fe7-4f9d-91e2-a54f07a5aa12,75.0
c1b0a6c3-6acc-43a2-8767-5268797a9463,87.0
5fbdf867-b972-4de1-867c-31b467319b7c,75.0
0fa8de8f-6203-4999-8442-0230e521d533,75.0
436e64f0-9838-4a15-bd66-020362b56b89,76.5
3ad8051b-9923-4f85-8d21-48995df7573f,84.0
4999dfad-e7c1-405c-9d68-5f5c5a8669ef,78.0
dead38a1-c0e4-49c5-be04-097d5a8ea632,85.5
