transaction_id,store_id,payment_method_id,voucher_id,user_id,original_amount,discount_applied,final_amount,created_at
AA,10,3,,10,9.5,0.0,9.5,2025-01-01 12:52:56
BB,7,4,,2,64.0,0.0,20.0,2025-01-01 07:00:03
CC,1,4,,40,63.0,0.0,63.0,2025-01-01 07:00:04
DD,4,2,,50,27.0,0.0,27.0,2025-01-01 07:00:05
EE,2,3,,60,41.0,0.0,41.0,2025-01-01 07:00:08
FF,8,2,,32,38.0,0.0,38.0,2025-01-01 07:00:11
GG,6,2,,4,43.0,0.0,43234.0,2025-01-01 07:00:21
HH,8,3,,43,44.5,0.0,80.5,2025-01-01 07:00:36
II,1,2,,7,14.0,0.0,14.0,2025-01-01 07:00:38
JJ,2,2,,8,46.0,0.0,46.0,2025-01-01 07:00:54
MM,2,3,,10,48.0,0.0,48.0,2025-01-01 07:00:56
KK,8,2,,12,65.0,0.0,76.0,2025-01-01 07:00:59
NN,1,2,,13,9.0,0.0,9.0,2025-01-01 07:01:00
OOO,3,4,,15,12.0,0.0,12.0,2025-01-01 07:01:02
PP,9,3,,19,29.0,0.0,29.0,2025-01-01 07:01:04
QQ,8,1,,24,16.0,0.0,16.0,2025-01-01 07:01:05
SS,8,2,,26,38.0,0.0,38.0,2025-01-01 07:01:18
RR,8,2,,35,29.0,0.0,29.0,2025-01-01 07:01:22
ZZ,8,2,,39,16.0,0.0,16.0,2025-01-01 07:01:30
WW,10,1,,44,24.0,0.0,90.0,2025-01-01 07:01:36
