user_id,gender,birthdate,registered_at
37,male,1967-06-05,2025-01-01 11:47:44
38,male,1967-06-07,2025-01-01 11:47:47
39,female,2000-08-15,2025-01-01 11:47:48
40,female,1970-09-21,2025-01-01 11:47:49
41,male,1969-03-18,2025-01-01 11:47:55
42,female,1981-04-20,2025-01-01 11:47:57
43,female,1993-03-23,2025-01-01 11:47:58
44,female,1997-01-30,2025-01-01 11:48:00
45,female,2003-04-10,2025-01-01 11:48:02
46,female,1974-05-11,2025-01-01 11:48:03
47,female,1967-12-15,2025-01-01 11:48:04
48,male,1992-12-31,2025-01-01 11:48:05
49,female,1970-08-11,2025-01-01 11:48:07
50,female,1990-08-19,2025-01-01 11:48:31
51,female,2001-10-04,2025-01-01 11:48:33
52,female,1993-12-30,2025-01-01 11:48:36
53,male,1975-02-01,2025-01-01 11:48:38
54,female,1986-07-04,2025-01-01 11:48:39
55,male,1976-07-24,2025-01-01 11:48:40
56,female,1972-04-12,2025-01-01 11:48:41
57,male,1966-12-14,2025-01-01 11:48:47
58,male,1992-06-14,2025-01-01 11:48:55
59,female,1988-10-11,2025-01-01 11:48:57
60,female,1972-09-28,2025-01-01 11:49:00
61,female,2006-03-14,2025-01-01 11:49:01
62,female,2008-11-28,2025-01-01 11:49:05
63,male,1990-04-10,2025-01-01 11:49:09
64,male,1993-06-07,2025-01-01 11:49:14
65,male,1967-05-14,2025-01-01 11:49:33
66,female,2000-08-27,2025-01-01 11:49:35
67,female,2006-01-13,2025-01-01 11:49:40
68,male,1983-08-12,2025-01-01 11:49:41
69,female,1966-01-29,2025-01-01 11:49:43
70,female,1993-10-11,2025-01-01 11:49:55
