store_name,birthdate,purchases_qty
G Coffee @ USJ 89q,2001-06-11,7.0
G Coffee @ USJ 89q,2008-05-26,7.0
G Coffee @ USJ 89q,1987-05-29,7.0
G Coffee @ Kondominium Putra,2007-06-14,7.0
G Coffee @ Kondominium Putra,1988-09-13,8.0
G Coffee @ Kondominium Putra,1989-11-10,7.0
G Coffee @ USJ 57W,1978-01-25,7.0
G Coffee @ USJ 57W,2007-12-30,7.0
G Coffee @ USJ 57W,1971-06-27,6.0
G Coffee @ Kampung Changkat,1970-01-03,8.0
G Coffee @ Kampung Changkat,2005-09-18,7.0
G Coffee @ Kampung Changkat,1995-10-29,7.0
G Coffee @ Seksyen 21,1980-01-16,7.0
G Coffee @ Seksyen 21,1969-03-15,7.0
G Coffee @ Seksyen 21,1999-02-13,7.0
G Coffee @ Alam Tun Hussein Onn,1997-08-10,8.0
G Coffee @ Alam Tun Hussein Onn,1973-10-31,8.0
G Coffee @ Alam Tun Hussein Onn,2006-01-28,8.0
G Coffee @ Damansara Saujana,1976-05-24,7.0
G Coffee @ Damansara Saujana,1970-04-21,7.0
G Coffee @ Damansara Saujana,1984-01-20,7.0
G Coffee @ Bandar Seri Mulia,1991-05-16,8.0
G Coffee @ Bandar Seri Mulia,1983-08-25,8.0
G Coffee @ Bandar Seri Mulia,2000-06-30,8.0
G Coffee @ PJS8,1979-12-04,9.0
G Coffee @ PJS8,1983-05-23,8.0
G Coffee @ PJS8,2003-11-05,8.0
G Coffee @ Taman Damansara,2000-02-19,7.0
G Coffee @ Taman Damansara,1996-11-09,7.0
G Coffee @ Taman Damansara,1987-08-01,7.0
